name,id,nametype,recclass,fall,year,reclat,reclong,GeoLocation,mass (kg)
Dominion Range 03234,32586,1,327,1,2002.0,,,,0.017
Dominion Range 03235,32587,1,175,1,2002.0,,,,0.0287
Dominion Range 03236,32588,1,184,1,2002.0,,,,0.021
Dominion Range 03237,32589,1,191,1,2002.0,,,,0.0831
Dominion Range 03238,32590,1,46,1,2002.0,,,,0.054200000000000005
Dominion Range 03254,32606,1,374,1,2002.0,,,,0.5484
Dominion Range 03255,32607,1,327,1,2002.0,,,,0.43389999999999995
Dominion Range 03256,32608,1,327,1,2002.0,,,,0.3236
Dominion Range 03257,32609,1,374,1,2002.0,,,,0.341
Dominion Range 03258,32610,1,374,1,2002.0,,,,0.39380000000000004
Dominion Range 03259,32611,1,378,1,2002.0,,,,0.3959
Dominion Range 03260,7665,1,374,1,2003.0,,,,0.3085
Dominion Range 03261,7666,1,374,1,2003.0,,,,0.2154
Dominion Range 03262,7667,1,374,1,2003.0,,,,0.2735
Dominion Range 03263,32612,1,378,1,2002.0,,,,0.0953
Dominion Range 03264,32613,1,327,1,2002.0,,,,0.0833
Dominion Range 03265,32614,1,374,1,2002.0,,,,0.0722
Dominion Range 03266,32615,1,327,1,2002.0,,,,0.07209999999999998
Dominion Range 03267,32616,1,374,1,2002.0,,,,0.0725
Dominion Range 03268,32617,1,374,1,2002.0,,,,0.0496
Dominion Range 03269,32618,1,374,1,2002.0,,,,0.061799999999999994
Dominion Range 03270,7668,1,374,1,2003.0,,,,0.030780000000000002
Dominion Range 03271,7669,1,374,1,2003.0,,,,0.036590000000000004
Dominion Range 03272,7670,1,374,1,2003.0,,,,0.08114
Dominion Range 03273,7671,1,374,1,2003.0,,,,0.03953
Dominion Range 03274,7672,1,374,1,2003.0,,,,0.03453
Dominion Range 03275,7673,1,374,1,2003.0,,,,0.02436
Dominion Range 03276,7674,1,374,1,2003.0,,,,0.02553
Dominion Range 03277,7675,1,374,1,2003.0,,,,0.01607
Dominion Range 03278,7676,1,374,1,2003.0,,,,0.04881
Dominion Range 03279,7677,1,374,1,2003.0,,,,0.04108
Dominion Range 03280,7678,1,378,1,2003.0,,,,0.05774
Dominion Range 03281,7679,1,378,1,2003.0,,,,0.01134
Dominion Range 03282,7680,1,374,1,2003.0,,,,0.02429
Dominion Range 03283,7681,1,333,1,2003.0,,,,0.01489
Dominion Range 03284,7682,1,327,1,2003.0,,,,0.0068200000000000005
Dominion Range 03285,7683,1,333,1,2003.0,,,,0.02546
Dominion Range 03286,7684,1,184,1,2003.0,,,,0.02515
Dominion Range 03287,7685,1,276,1,2003.0,,,,0.020239999999999998
Dominion Range 03288,7686,1,333,1,2003.0,,,,0.03601
Dominion Range 03289,7687,1,184,1,2003.0,,,,0.08579
Dominion Range 03290,32619,1,327,1,2002.0,,,,0.013099999999999999
Dominion Range 03291,32620,1,327,1,2002.0,,,,0.0426
Dominion Range 03292,32621,1,184,1,2002.0,,,,0.0522
Dominion Range 03293,32622,1,374,1,2002.0,,,,0.0341
Dominion Range 03294,32623,1,327,1,2002.0,,,,0.0313
Dominion Range 03295,32624,1,327,1,2002.0,,,,0.0206
Dominion Range 03296,32625,1,327,1,2002.0,,,,0.0428
Dominion Range 03297,32626,1,378,1,2002.0,,,,0.011
Dominion Range 03298,32627,1,333,1,2002.0,,,,0.0099
Dominion Range 03299,32628,1,327,1,2002.0,,,,0.0182
Dominion Range 03300,32629,1,327,1,2002.0,,,,0.0214
Dominion Range 03301,32630,1,327,1,2002.0,,,,0.0157
Dominion Range 03302,32631,1,327,1,2002.0,,,,0.013099999999999999
Dominion Range 03303,32632,1,374,1,2002.0,,,,0.0213
Dominion Range 03304,32633,1,327,1,2002.0,,,,0.013
Dominion Range 03305,32634,1,374,1,2002.0,,,,0.0264
Dominion Range 03306,32635,1,175,1,2002.0,,,,0.021
Dominion Range 03307,32636,1,327,1,2002.0,,,,0.0145
Dominion Range 03308,32637,1,374,1,2002.0,,,,0.0376
Dominion Range 03309,32638,1,184,1,2002.0,,,,0.038200000000000005
Dominion Range 03310,7688,1,374,1,2003.0,,,,0.01375
Dominion Range 03311,7689,1,374,1,2003.0,,,,0.02709
Dominion Range 03312,7690,1,184,1,2003.0,,,,0.01652
Dominion Range 03313,7691,1,184,1,2003.0,,,,0.00821
Dominion Range 03314,7692,1,327,1,2003.0,,,,0.00797
Dominion Range 03315,7693,1,374,1,2003.0,,,,0.0126
Dominion Range 03317,7694,1,327,1,2003.0,,,,0.01139
Dominion Range 03318,34566,1,184,1,2003.0,,,,2.9646999999999997
Dominion Range 03319,34567,1,327,1,2003.0,,,,3.4497
Dominion Range 03320,34568,1,327,1,2003.0,,,,2.1767
Finger Ridge 01601,10098,1,333,1,2001.0,,,,0.2875
Dunedin,7746,1,345,1,1960.0,,,,0.0050999999999999995
Durango,7751,1,228,1,1804.0,,,,164.0
Eagles Nest,7762,1,8,1,1960.0,,,,0.154
Finger Ridge 01602,10099,1,184,1,2001.0,,,,0.09484000000000001
Finger Ridge 01603,10100,1,327,1,2001.0,,,,0.5838
Finger Ridge 01604,10101,1,184,1,2001.0,,,,0.18616999999999997
Finger Ridge 01605,10102,1,184,1,2001.0,,,,0.10259
Graves Nunataks 06204,46061,1,327,1,2006.0,,,,0.0845
Graves Nunataks 06205,47391,1,378,1,2006.0,,,,0.0471
Graves Nunataks 06206,47392,1,327,1,2006.0,,,,0.0345
Graves Nunataks 06207,47393,1,374,1,2006.0,,,,0.05
Graves Nunataks 06208,47394,1,333,1,2006.0,,,,0.0366
Graves Nunataks 06209,47395,1,327,1,2006.0,,,,0.0522
Graves Nunataks 06210,46062,1,184,1,2006.0,,,,0.038799999999999994
Graves Nunataks 06211,46063,1,184,1,2006.0,,,,0.0221
Graves Nunataks 06212,46064,1,374,1,2006.0,,,,0.032100000000000004
Graves Nunataks 06213,46065,1,378,1,2006.0,,,,0.0313
Graves Nunataks 06214,46066,1,378,1,2006.0,,,,0.0214
Graves Nunataks 06215,46067,1,327,1,2006.0,,,,0.008
Elqui,10025,1,218,1,1990.0,,,,0.26
Finger Ridge 00100,10094,1,184,1,2000.0,,,,0.03961
Finger Ridge 00101,10095,1,175,1,2000.0,,,,0.12179000000000001
Finger Ridge 00102,10096,1,184,1,2000.0,,,,0.07811
Finger Ridge 01600,10097,1,184,1,2001.0,,,,0.8762000000000001
Graves Nunataks 06216,46068,1,327,1,2006.0,,,,0.0011
Georgetown (iron),10905,1,214,1,1988.0,,,,5.0
Graves Nunataks 06100,45013,1,60,1,2006.0,,,,0.4218
Graves Nunataks 06101,45014,1,64,1,2006.0,,,,3.555
Graves Nunataks 06102,46018,1,327,1,2006.0,,,,12.4975
Graves Nunataks 06103,47367,1,327,1,2006.0,,,,1.0158
Graves Nunataks 06104,47368,1,327,1,2006.0,,,,5.691
Graves Nunataks 06105,47369,1,327,1,2006.0,,,,4.1555
Graves Nunataks 06106,48692,1,184,1,2006.0,,,,4.53
Graves Nunataks 06107,47370,1,374,1,2006.0,,,,3.6574
Graves Nunataks 06108,48693,1,327,1,2006.0,,,,2.3234
Graves Nunataks 06109,48694,1,327,1,2006.0,,,,1.6189
Graves Nunataks 06112,48695,1,327,1,2006.0,,,,0.9963
Graves Nunataks 06113,48696,1,327,1,2006.0,,,,1.2547000000000001
Graves Nunataks 06114,48697,1,327,1,2006.0,,,,0.9067000000000001
Graves Nunataks 06115,47371,1,327,1,2006.0,,,,0.45630000000000004
Graves Nunataks 06118,47372,1,184,1,2006.0,,,,0.7756000000000001
Graves Nunataks 06119,47373,1,333,1,2006.0,,,,1.1757
Graves Nunataks 06120,47374,1,327,1,2006.0,,,,1.1713
Graves Nunataks 06121,47375,1,327,1,2006.0,,,,1.0728
Graves Nunataks 06122,47376,1,184,1,2006.0,,,,0.4663
Graves Nunataks 06123,47377,1,327,1,2006.0,,,,0.965
Graves Nunataks 06124,47378,1,374,1,2006.0,,,,0.49910000000000004
Graves Nunataks 06125,47379,1,327,1,2006.0,,,,0.48719999999999997
Graves Nunataks 06127,47380,1,191,1,2006.0,,,,0.2541
Graves Nunataks 06128,45015,1,4,1,2006.0,,,,0.4476
Graves Nunataks 06129,45016,1,4,1,2006.0,,,,0.1965
Graves Nunataks 06130,45017,1,64,1,2006.0,,,,0.0136
Graves Nunataks 06131,45018,1,44,1,2006.0,,,,0.0073
Graves Nunataks 06132,47381,1,327,1,2006.0,,,,0.1365
Graves Nunataks 06133,47382,1,378,1,2006.0,,,,0.234
Graves Nunataks 06134,47383,1,333,1,2006.0,,,,0.08940000000000001
Graves Nunataks 06135,47384,1,191,1,2006.0,,,,0.2075
Graves Nunataks 06136,47385,1,333,1,2006.0,,,,0.1703
Graves Nunataks 06137,47386,1,327,1,2006.0,,,,0.1987
Graves Nunataks 06138,47387,1,333,1,2006.0,,,,0.1346
Graves Nunataks 06139,47388,1,374,1,2006.0,,,,0.148
Graves Nunataks 06150,46019,1,333,1,2006.0,,,,0.1795
Graves Nunataks 06151,46020,1,327,1,2006.0,,,,0.0634
Graves Nunataks 06152,46021,1,327,1,2006.0,,,,0.1264
Graves Nunataks 06153,46022,1,327,1,2006.0,,,,0.1062
Graves Nunataks 06154,46023,1,184,1,2006.0,,,,0.038799999999999994
Graves Nunataks 06155,46024,1,191,1,2006.0,,,,0.0249
Graves Nunataks 06156,46025,1,327,1,2006.0,,,,0.007
Graves Nunataks 06157,45019,1,395,1,2006.0,,,,0.0008
Graves Nunataks 06158,46026,1,44,1,2006.0,,,,0.0013
Graves Nunataks 06159,46027,1,327,1,2006.0,,,,0.0052
Graves Nunataks 06160,46028,1,327,1,2006.0,,,,0.0012
Graves Nunataks 06161,46029,1,327,1,2006.0,,,,0.0005
Graves Nunataks 06162,46030,1,333,1,2006.0,,,,0.0421
Graves Nunataks 06163,46031,1,374,1,2006.0,,,,0.0202
Graves Nunataks 06164,46032,1,327,1,2006.0,,,,0.0114
Graves Nunataks 06165,46033,1,184,1,2006.0,,,,0.003
Graves Nunataks 06166,46034,1,327,1,2006.0,,,,0.0155
Graves Nunataks 06167,46035,1,378,1,2006.0,,,,0.004900000000000001
Graves Nunataks 06168,46036,1,327,1,2006.0,,,,0.0018
Graves Nunataks 06169,46037,1,327,1,2006.0,,,,0.0040999999999999995
Graves Nunataks 06170,47389,1,374,1,2006.0,,,,0.19119999999999998
Graves Nunataks 06171,47390,1,374,1,2006.0,,,,0.233
Graves Nunataks 06172,45020,1,44,1,2006.0,,,,0.0211
Graves Nunataks 06173,45021,1,34,1,2006.0,,,,0.0055
Graves Nunataks 06180,46038,1,327,1,2006.0,,,,0.0237
Graves Nunataks 06181,46039,1,374,1,2006.0,,,,0.0504
Graves Nunataks 06182,46040,1,378,1,2006.0,,,,0.030699999999999998
Graves Nunataks 06183,46041,1,327,1,2006.0,,,,0.0070999999999999995
Graves Nunataks 06184,46042,1,333,1,2006.0,,,,0.037399999999999996
Graves Nunataks 06185,46043,1,378,1,2006.0,,,,0.0544
Graves Nunataks 06186,46044,1,378,1,2006.0,,,,0.0095
Graves Nunataks 06187,46045,1,327,1,2006.0,,,,0.0027
Graves Nunataks 06188,46046,1,327,1,2006.0,,,,0.0075
Graves Nunataks 06189,45022,1,110,1,2006.0,,,,0.0029
Graves Nunataks 06190,46047,1,333,1,2006.0,,,,0.0127
Graves Nunataks 06191,46048,1,327,1,2006.0,,,,0.0101
Graves Nunataks 06192,46049,1,191,1,2006.0,,,,0.0324
Graves Nunataks 06193,46050,1,327,1,2006.0,,,,0.004200000000000001
Graves Nunataks 06194,46051,1,327,1,2006.0,,,,0.0033
Graves Nunataks 06195,46052,1,327,1,2006.0,,,,0.0062
Graves Nunataks 06196,46053,1,327,1,2006.0,,,,0.012
Graves Nunataks 06197,46054,1,333,1,2006.0,,,,0.011699999999999999
Graves Nunataks 06198,46055,1,374,1,2006.0,,,,0.008400000000000001
Graves Nunataks 06199,46056,1,191,1,2006.0,,,,0.006
Graves Nunataks 06200,46057,1,327,1,2006.0,,,,0.1586
Graves Nunataks 06201,46058,1,327,1,2006.0,,,,0.0916
Graves Nunataks 06202,46059,1,327,1,2006.0,,,,0.06559999999999999
Graves Nunataks 06203,46060,1,374,1,2006.0,,,,0.0636
Graves Nunataks 06217,46069,1,327,1,2006.0,,,,0.0053
Graves Nunataks 06218,46070,1,327,1,2006.0,,,,0.0016
Graves Nunataks 06219,46071,1,327,1,2006.0,,,,0.004
Graves Nunataks 06220,46072,1,184,1,2006.0,,,,0.0045
Graves Nunataks 06221,46073,1,327,1,2006.0,,,,0.0004
Graves Nunataks 06222,46074,1,327,1,2006.0,,,,0.0011
Graves Nunataks 06223,46075,1,333,1,2006.0,,,,0.0092
Graves Nunataks 06224,46076,1,327,1,2006.0,,,,0.0038
Graves Nunataks 06225,46077,1,327,1,2006.0,,,,0.001
Graves Nunataks 06226,46078,1,327,1,2006.0,,,,0.0022
Graves Nunataks 06227,46079,1,327,1,2006.0,,,,0.013800000000000002
Graves Nunataks 06228,46080,1,327,1,2006.0,,,,0.0109
Graves Nunataks 06229,46081,1,327,1,2006.0,,,,0.0072
Graves Nunataks 06230,46082,1,378,1,2006.0,,,,0.0033
Graves Nunataks 06231,46083,1,327,1,2006.0,,,,0.0032
Graves Nunataks 06232,46084,1,333,1,2006.0,,,,0.0075
Graves Nunataks 06233,46085,1,378,1,2006.0,,,,0.0073
Graves Nunataks 06234,46086,1,327,1,2006.0,,,,0.0040999999999999995
Grosvenor Mountains 03041,35748,1,327,1,2003.0,,,,0.18380000000000002
Grosvenor Mountains 03001,32639,1,327,1,2002.0,,,,29.0
Grosvenor Mountains 03002,32640,1,327,1,2002.0,,,,28.0
Grosvenor Mountains 03003,35734,1,327,1,2003.0,,,,10.64
Grosvenor Mountains 03004,35735,1,327,1,2003.0,,,,2.47
Grosvenor Mountains 03005,35736,1,327,1,2003.0,,,,2.576
Grosvenor Mountains 03006,35737,1,327,1,2003.0,,,,1.1616
Grosvenor Mountains 03007,34569,1,327,1,2003.0,,,,3.85
Grosvenor Mountains 03008,35738,1,327,1,2003.0,,,,1.693
Grosvenor Mountains 03009,35739,1,327,1,2003.0,,,,1.1129
Grosvenor Mountains 03010,35740,1,327,1,2003.0,,,,1.3975
Grosvenor Mountains 03011,35741,1,327,1,2003.0,,,,1.2575999999999998
Grosvenor Mountains 03012,35742,1,327,1,2003.0,,,,1.184
Grosvenor Mountains 03013,34570,1,327,1,2003.0,,,,1.035
Grosvenor Mountains 03014,34571,1,327,1,2003.0,,,,1.11
Grosvenor Mountains 03015,34572,1,276,1,2003.0,,,,0.48
Grosvenor Mountains 03016,34573,1,327,1,2003.0,,,,0.955
Grosvenor Mountains 03017,34574,1,374,1,2003.0,,,,0.31
Grosvenor Mountains 03018,35743,1,327,1,2003.0,,,,1.554
Grosvenor Mountains 03019,34575,1,327,1,2003.0,,,,1.243
Grosvenor Mountains 03020,34576,1,327,1,2003.0,,,,0.555
Grosvenor Mountains 03021,34577,1,327,1,2003.0,,,,0.6079
Grosvenor Mountains 03022,34578,1,184,1,2003.0,,,,0.6535
Grosvenor Mountains 03023,34579,1,327,1,2003.0,,,,0.882
Grosvenor Mountains 03024,34580,1,327,1,2003.0,,,,0.6427
Grosvenor Mountains 03025,34581,1,327,1,2003.0,,,,0.595
Grosvenor Mountains 03026,35744,1,327,1,2003.0,,,,0.5612
Grosvenor Mountains 03027,34582,1,327,1,2003.0,,,,0.585
Grosvenor Mountains 03028,34583,1,327,1,2003.0,,,,0.475
